Variables,X.IncMSE,IncNodePurity
GrLivArea,35.5671027949155,22.9491083801139
OverallQual,28.0717270571866,39.2336103944709
TotalBsmtSF,21.4734147820636,7.26904638238098
GarageArea,21.091958467267,9.58898421021891
FirstFlrSF,20.065708006898,6.73357637083779
LotArea,19.7408519343473,2.99133841155618
YearBuilt,17.1414557907933,9.65321355095169
BsmtFinSF1,16.0720561520548,2.86444475060284
OverallCond,16.0531502958785,1.15509994521719
Fireplaces,15.4630716128532,2.73691191652891
SecondFlrSF,15.1772221569047,2.37089141096545
YearRemodAdd,13.6831482822072,3.39643684727439
MSSubClass,13.3927242474312,0.618763856617084
ExterQual,13.3669433964496,11.7814191111647
MSZoning.RM,12.0091943293985,0.632195075323579
